task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
1213589928739632	I need to be able to add complex SVGs not single line	Completed				Alexa			2026-03-10 10:27:14	2026-03-10 15:16:29
1213070073876364	Improve line pulldown visual	Completed				Unassigned		Polish: Line pulldown swap to graphic 0---0---0 for center start middle.\n\nExpected Behavior: Replace text-based line alignment options with a visual graphic showing three connected points (0---0---0) to represent center, start, and middle alignment options.	2026-02-01 15:50:24	2026-02-01 15:52:23
1213783121489121	In export sepeerate out all pdifferent shapes into different JS files	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:28:48	2026-04-22 18:43:23
1213783121489118	in main app make sure all shapes use different code players	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:28:09	2026-04-22 18:44:19
1213783121489117	in main app,  make siure it's clean	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:27:59	2026-04-22 18:43:26
1213070073876319	Kill header play button	Completed				Unassigned		Task: Kill header "play" button.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Remove the play button from the header area (likely replaced by the improved play button mentioned in previous tasks).	2026-02-01 15:47:05	2026-02-01 15:47:31
1213103523813980	layer order doesn't affect canvas	Completed			Timeline	Unassigned			2026-02-03 20:32:58	2026-02-03 20:33:11
1213422326879705	make all export transparent	Completed				Unassigned			2026-02-24 12:29:03	2026-04-22 18:43:28
1213387118254139	new folder bug, cant move cant rename	Completed			General	Unassigned			2026-02-22 20:01:30	2026-02-23 09:19:09
1213070073876331	Optimize folder view spacing	Completed			File System	Unassigned		Issue: We need to tighten up vertical spacing, I don't need last edited time in the folder view you can put it in the preview window under the title.\n\nChanges Required:\n\n    Reduce vertical spacing between items in folder view\n    Remove "last edited" timestamp from folder view\n    Move "last edited" information to preview window, positioned under the title\n\nExpected Behavior: More compact folder view with cleaner information hierarchy.	2026-02-01 15:49:03	2026-02-05 22:26:45
1213103502476656	put prog and offset in same line. order offset - prog with little arrow between  (under spread and rotate)	Completed			Animation Variables	Unassigned			2026-02-03 18:30:35	2026-02-06 18:16:57
1213070073876381	remove date from file folder layer view, add to canvas preview area under title	Completed			File System	Unassigned			2026-02-01 16:22:36	2026-02-06 18:14:21
1213070073876317	Remove master timeline bar	Completed				Unassigned		Task: Remove the "master" timeline bar, it's not needed.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Master timeline bar should be removed from the interface to simplify the timeline view.	2026-02-01 15:47:05	2026-02-01 15:47:32
